Name,City,Neighborhood,Type of activity,Description,Maps/web site,Commentary
Fushimi Inari-taisha,Kyoto,Minami-ku,Temple,Hike of the 1000 torii (very easy),"https://www.google.com/maps/place/Fushimi+Inari-taisha/@34.9671402,135.7726717,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_%3Dw86-h114-k-no!7i3024!8i4032!4m5!3m4!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9!8m2!3d34.9671402!4d135.7726717","Easy hike, take photos from the top not the bottom (too crowded)"
Sensou-ji,Tokyo,Asakusa,Temple,the most photographed places in the world,"https://www.google.com/maps/place/Sanctuaire+Asakusa/@35.6826846,139.730161,12.79z/data=!4m5!3m4!1s0x60188ec1a4463df1:0x6c0d289a8292810d!8m2!3d35.7147651!4d139.7966553",seen it once quite pretty despite the good amount of tourists. Watchout there are a lot of scams
Shinjuku Gyoen,Tokyo,Shinjuku,Park,Tokyo's largest park,https://maps.app.goo.gl/GsTTFksakJjcUoqu5,"Nice park for relaxing, but not amazing."
Meiji Jingu,Tokyo,Shibuya,Temple,"Temple + park, crazy temple",https://goo.gl/maps/7gKiGYU79i9JVg6p6,"A bit touristy, but a good starting point for visiting Harajuku."
Masahiro sword smith,Kyoto,Kyoto contryside,Local activity,Traditional blade forging (expensive + plan ahead),https://goo.gl/maps/D9P4rYZpWrMwycra7,
rooftop baseball,Tokyo,Ikebukuro,Local activity,Playing baseball on the rooftops of Tokyo,Batting Center - Du baseball sur les toits de Tokyo,
Hachiko Statue,Tokyo,Shibuya,Other,see the statue of Hachiko,https://goo.gl/maps/VsCNYmNT4gTDUhgv7,"The photo spot was overcrowded, but it's nice to see."
Tsukiji,Tokyo,Chuo-city,Restaurant,Fish market,https://goo.gl/maps/dHoFXQzf3AXc3mmW9,
Gion Matsuri,Kyoto,Gion,Other,Japan's largest summer festival,Gion Matsuri 2024 - Chouette Calendrier,"Incredibly overcrowded, but the people are nice; worth doing over several days."
Trader,Tokyo,Chiyoda,Store,Retro gaming store,https://goo.gl/maps/ZHT3YvWv7AjBbADA7,Great deal for retro gaming fans
Game park,Tokyo,Ikebukuro,Arcade room,Little-known arcade,https://goo.gl/maps/kbRSMSV8wuMNQWyB8,
Mandarake shibuya,Tokyo,Shibuya,Store,"Manga, game, and toy store",https://goo.gl/maps/i5x8Ljmm5Q8HtLdz6,
Sofmap,Tokyo,Akihabara,Store,"Toy, figurine, and retro store",https://goo.gl/maps/E1tBJ7gWRcEasSoU7,
Mandarake Complex,Tokyo,Akihabara,Store,"Manga, game, and toy store (8 floors)",https://maps.app.goo.gl/1a3wE1MDCV6sudeX8,My main place to buy manga
Mandarake Ikebokuro,Tokyo,Ikebukuro,Store,"Manga, game, and toy store",https://goo.gl/maps/5ivGTDynw5weYpsY7,
Womb,Tokyo,Shibuya,Club,One of the biggest nightclubs,https://g.page/wombtokyo?share,Entrance fee too expensive
Japan Sake and Shōchū Information Center,Tokyo,Minato-city,Museum,Museum and sake and shochu tasting,https://goo.gl/maps/k1nAC12NPTY7u67W7,
Hello Tokyo Bar,Tokyo,Toshima-city,Bar,French karaoke bar,https://g.page/BonjourTokyoBar?share,
Kawagoe Hikawa Shrine,Saitama,Kawagoe,Temple,A mad temple in an incredible neighborhood (a city adjacent to Tokyo),https://goo.gl/maps/tPoWgJpyJevgrZBH6,
Toki no Kane,Saitama,Kawagoe,Other,"Edo period bell tower (bells ring four times: 6am, noon, 3pm, 6pm)",https://goo.gl/maps/kZdd8txF4yPJVA6F7,
Park,Saitama,Kawagoe,Store,local sake and beer shop/center,https://goo.gl/maps/p1B9Y7rPArGVN24c8,
Tokyo Tower,Tokyo,Minato-city,Other,The Japanese Eiffel Tower that broadcasts anime,https://goo.gl/maps/ecY6FYmFFYjZwtZv6,Plenty of other activities inside
Cha Ginza Uogashimeicha Ginza,Tokyo,Chuo-city,Store,Shop/tea room,https://goo.gl/maps/6bXT2ZhRoBmWZDHK6,
AiiRO CAFE,Tokyo,Shinjuku,Bar,LGBT bar (1000 yen unlimited beer from 6pm to 9pm),https://goo.gl/maps/ssSLjXtSc6dd2LgY6,
Yasaka-jinja,Kyoto,Gion,Temple,Colorful temple in Kyoto's ultra-traditional district,https://goo.gl/maps/JCRkdwLj1cjgb2zQ8,Main temple of Gion
Nijō-jō,Kyoto,Nakagyo-ku,Other,Former Emperor's Castle,https://goo.gl/maps/Uigqtr628iTgwZd59,Free entry
Kinkaku-ji,Kyoto,Kita-ku,Other,golden castle,https://goo.gl/maps/5fepxadjyXdsMqGv8,Very photogenic places with not too many people in the late afternoon.
Ginkaku-ji,Kyoto,Sakyo-ku,Other,silver castle,https://goo.gl/maps/v6w51Je9Hv7UKLwP7,
Tozando Shogoin Store,Kyoto,Sakyo-ku,Store,Sword and armor shop with the possibility of trying on the armor.,https://goo.gl/maps/nu5BmT5RaoZPYRSQ9,"The katanas on display are not newly carved katanas, but the antique katanas are (expensive)."
Ghibli Museum,Mikata,Shimorenjaku,Museum,Ghibli Museum: plan ahead (city in the Tokyo metropolitan area),https://goo.gl/maps/5YpwxmWZRS7cAKbRA,
Tokyo National Museum,Tokyo,Taitou,Museum,Museum of Traditional Japanese Art,https://goo.gl/maps/sjpEnAT2hWccNnzv6,
Kyoto International Manga Museum,Kyoto,Nakagyo-ku,Museum,"Gigantic manga museum (50,000 copies)",https://goo.gl/maps/mmDU6NPQz6JrfEyX6,
Arashiyama Bamboo Forest,Kyoto,Ukyo,Rando,"Bamboo forest on the outskirts of town (very, very easy)",https://g.page/arashiyama-bamboo-forest?share,
Souden,Kyoto,Nakagyo-ku,Restaurant,Sushi restaurant around,https://goo.gl/maps/Yjnx8D99Y9iWbUMN7,
Tsuruya Yoshinobu Kyoto Main Store,Kyoto,Kamigyo,Store,Traditional confectionery shop + opportunity to see the production process (+ tasting with tea) + very reputable (approved by the Imperial Family),https://goo.gl/maps/zoX1nqJhi3MUpF5Q6,"An incredible experience, unknown to the general public"
Nazuna Kyoto Nijo-jo,Kyoto,Nakagyo-Ku,Hotel,Hotel,https://goo.gl/maps/VD1kkJyRmYkApKA28,
Wak Japan,Kyoto,Nakagyo-Ku,Local activity,"Multiple traditional activities (tea ceremony, origami, calligraphy, ...)",https://goo.gl/maps/jaA1ejU7RWiXjzUP8,
Eitarouya,Kyoto,Nakagyo-Ku,Store,Men's kimono shop with the option to order locally and have it delivered to France (it's expensive but apparently it's worth it),https://goo.gl/maps/eFa3443vnBHU2XuUA,Average price for a men's summer kimono: €1100
Black silk,Kyoto,Nakagyo-Ku,Store,"Kamon dye shop (samurai family symbol) with the option to choose your Kamon (samorai, original, astrological sign, birth date, etc.), customize",https://g.page/kansyakun?share,
Pre-market Alternative Dinner,Kyoto,Nakagyo-Ku,Restaurant,Vegetarian/vegan restaurant,https://goo.gl/maps/3E8TiexMxYVAcmAT6,
Kyolan Kimono rental,Kyoto,Ukyo,Store,"Location + photo shoot kimono (~40€ kimono,~17€ yukata)",https://goo.gl/maps/aADSASwevYPB8D4PA,
Kimono Forest,Kyoto,Ukyo,Other,"Tourist spots to visit at night, filled with kimono poles",https://goo.gl/maps/1tXeEuJwWLG5T6A97,
Negiya Heikichi Pontocho shop,Kyoto,Nakagyo-Ku,Restaurant,Inexpensive eel restaurant with good service,https://goo.gl/maps/Lzh4cgM9GBkgN7QeA,
snack Bar A-55 Kyotoshijo-Kawaramachi,Kyoto,Nakagyo-Ku,Bar,Japanese candy bar (everything you can eat for an hour),https://maps.app.goo.gl/NLtyT269y5hgvXvY6,
Yakiniku LIKE,Kyoto,Nakagyo-Ku,Restaurant,"Wagyu restaurant where you grill your own (inexpensive, around €15)",https://goo.gl/maps/Hd12iYhVABHRuacx8,
Shikata Urushi,Kyoto,Shimogyo,Local activity,"Kintsugi (the art of ceramic repair, ~€50)",https://goo.gl/maps/fqjLKU7uMptGNagKA,
Tenkaippin,Kyoto,Ukyo,Restaurant,Best Kyoto-style ramen restaurant (~€13),https://goo.gl/maps/qj1oY26byM8atJXt6,
Nikuya Suzu,Kyoto,Higashiyama,Restaurant,Wagyu restaurant serving all cuts of beef (€21 - €49),https://goo.gl/maps/CBGXEfqveCb3reMm9,
Kiraku Kyoto Zeniyacho,Kyoto,Shimogyo,Hotel,Ryokan in central Kyoto with private outdoor onsen (no overlooking neighbors) (~€160/night),https://goo.gl/maps/QPenBkYGYysZ8iws5,
Statue of Saigō Takamori,Tokyo,Ueno,Other,Legendary Samurai Statue,https://goo.gl/maps/cKgpVWubWR7XbMTG6,
Soranoiro,Tokyo,Chiyoda,Restaurant,"Ramen, renowned for its excellent broth",https://g.page/soranoironippon?share,
Japan Traditional Crafts (Aoyama Square),Tokyo,Chiyoda,Store,Exhibitions of Japanese artisans,https://g.page/aoyama_square?share,
Imperial Palace + Imperial Garden,Tokyo,Chiyoda,Palace,Emperor's Residence,https://goo.gl/maps/hESjwfRejAiw8HRG7,Park closed to the public last time
Tokyo National Museum of Modern Art,Tokyo,Chiyoda,Museum,Museum tracing Japanese art from the 19th century to the present day,https://goo.gl/maps/9MqPCVNUyMZkM3fN9,
Yasukuni Jinija,Tokyo,Chiyoda,Temple,Shinto shrine dedicated to those who died for their country,https://goo.gl/maps/o1kbXxNU16ENDzFi7,
Xex,Tokyo,Marunouchi,Club,"Dance bar, Jazz club",https://g.page/XEXTOKYO?share,
Sadaharu Aoki,Tokyo,Marunouchi,Store,Grand House of Tokyo Pastries,https://goo.gl/maps/QPAFM4KePFvB3No8A,
Tokyo International Forum,Tokyo,Marunouchi,Building,Interesting architecture: a grand avenue of bay windows crossed by footbridges,https://goo.gl/maps/H4rzFY8UGbpmBKy36,
Tamahide,Tokyo,Marunouchi,Restaurant,The oldest restaurant in town (1760). Traditional service and setting (temporarily closed!!),https://goo.gl/maps/VQWnpAbePMyvwcGv5,
Mitsukoshi,Tokyo,Ginza,Store,"Tokyo's oldest department store, with several sculptures inside. + rooftop",https://goo.gl/maps/7V5vwFyQ54qk2kBEA,meh
Kite Museum,Tokyo,Marunouchi,Museum,Kite themed around Japanese legends,,
OKASHI GAKU,Tokyo,Sumida,Store,Cake in cans (with automatic dispenser),https://goo.gl/maps/3kRQgMijSVbYbgLAA,
Namba Yasaka Jinja,Osaka,Namiwa,Temple,Temple with a lion's head,https://goo.gl/maps/DGVaT6yc3Nzc43b39,
Takeshita St,Tokyo,Shibuya,Other,"Harajuku, a young neighborhood",https://goo.gl/maps/e3DHZxFtaACG3uaE6,Overrated and losing momentum
Kagurazaka,Tokyo,Shinjuku,Other,French Quarter,https://goo.gl/maps/oi4iLDiBxDQjMZBP8,
Fukutaro,Osaka,Kita-ku,Restaurant,Very good Osaka-style okonomiyaki restaurant,https://goo.gl/maps/ESX81Av9CvkNDJNb6,
Shinsekai,Osaka,Naniwa,Other,Shopping district (full of street food),https://goo.gl/maps/jrbujsPfMnMoXXEG6,
Naruto Taiyaki Hompo,Osaka,Chuo-city,Restaurant,Very good Taiyaki,https://goo.gl/maps/Q1YuVeDF1KU2weoq7,
Cheese Tart Pablo Shinsaibashi,Osaka,Chuo-city,Restaurant,cheese pie,https://maps.app.goo.gl/HbkdaPP7aW6Wr1QX7,"Okay, but I don't really like it."
VANGUARD VILLAGE,Tokyo,Shibuya,Store,Bookseller/Don Quixote,https://goo.gl/maps/zeCnW9UD48kit5jv7,
Monjayaki Masuda-tei,Tokyo,Shibuya,Restaurant,okonomiyaki tokyo style,https://goo.gl/maps/X8Bu9XEF8T55oWoHA,
,#REF!,#REF!,#REF!,,#REF!,
Nakano Broadway,Tokyo,Nakano,Other,Geek/vintage shopping street,https://goo.gl/maps/FBwLYP33nDAfnWAh8,
Nakamise Shopping Street,Tokyo,Asakusa,Other,Street food market (beware of scams),https://goo.gl/maps/HD1YQD6uDXXyKvVB6,
Ameyoko Shopping Street,Tokyo,Ueno,Other,shopping street street food,https://goo.gl/maps/R8Sdsgm8kWue2ceUA,
Tokyo Station,Tokyo,Chiyoda,Other,Beautiful architecture + mall with ramen street + large Kit Kat store,https://goo.gl/maps/c6uPXv8mcaZFYkk68,
Hamarikyūteien,Tokyo,Chuo-city,Park,Large traditional park (next to the imperial palace),https://goo.gl/maps/dbnrEz5fHKPatwFd8,
Pokémon Cafe,Tokyo,Chuo-city,Restaurant,Pokémon-themed cafe (reservations required),https://goo.gl/maps/Pt1Fcp92dvyCc8uU7,
Daikanyama,Tokyo,Shibuya,Other,Daikanyamacho is an elegant district with boutiques featuring designer fashion and luxury accessories.,https://goo.gl/maps/ZUM2xdkw9uvWG5Fz7,
Genki Sushi,Tokyo,Shibuya,Restaurant,"Mid-range sushi chain (on conveyor belt, permanently closed)",https://goo.gl/maps/bYJq9y2LApAVQu767,
Meguro River,Tokyo,Meguro,Other,Photogenic famous river,https://goo.gl/maps/SgiPAVVfKWm4j9hv6,
Inokashira Park,Tokyo,Musashino,Park,Park with a lake (next to the Ghibli Museum),https://goo.gl/maps/3CBDXRM37dFjE3SJ8,
Shimokitazawa,Tokyo,Setagaya,Other,Neighborhood hipster,https://goo.gl/maps/C3NCSXYGZJUotgFx7,
Nebuzo,Tokyo,Shibuya,Restaurant,Sukiyaki Restaurant,https://g.page/nabezo-shibuyacenter?share,
Cup Noodles Museum Yokohama,Tokyo,Yokohama,Museum,Cup Noodle Museum with the option to make your own custom cups,https://goo.gl/maps/A4Co1731uKWPLaG2A,A neighborhood far from everything
Sanneizaka,Kyoto,Higashiyama,Other,A very traditional street with a touch of Japanese spice.,https://goo.gl/maps/1pFvJ8xNNSf55XQm8,Best done outside of peak hours
Maccha House,Kyoto,Higashiyama,Restaurant,Restaurant/bar tiramisu macha (+ terrace),https://goo.gl/maps/tXHVJB1sFpHNjWA88,Instagram is great for a touristy thing.
Wajoryomen Sugari,Kyoto,Nakagyo-Ku,Restaurant,Highly regarded Kyoto-style ramen,https://goo.gl/maps/cj9j5hgGS66A4XWs7,
Pontocho Park,Kyoto,Nakagyo-Ku,Park,Park on Pontocho Street (full of small restaurants),https://goo.gl/maps/N4VDzbfnVBSuZxF47,Lots of scams
Ginza Hachigo,Tokyo,Ginza,Restaurant,Famous for its Ramen,https://goo.gl/maps/o94muzbrsgkAbmLeA,
Godaime Hanayama Udon,Tokyo,Ginza,Restaurant,One of the best udon in the city,https://goo.gl/maps/M7FTxBmnFRSwjd3D6,"A full meal costs €8, with a 30-minute to 1.5-hour wait, but it's well worth it."
Tempura Tendon Tenya,Tokyo,Ginza,Restaurant,Fast food specializing in tempura,https://goo.gl/maps/XRHa4KPHUWjG5aAM9,
Ginza Misono,Tokyo,Ginza,Restaurant,"Excellent value for money for the Kobe beef, cooked on hot plates on the table.",,
300 Bar,Tokyo,Ginza,Bar,Best cocktail in town (the Cuban ambassador fell in love with it) + Music,https://g.page/ginza300bar-5?share,
Plustokyo,Tokyo,Ginza,Club,Club at the top of a shopping mall with a view of all of Tokyo (permanently closed),,
Hisui Tokyo,Tokyo,Ginza,Local activity,"School of traditional Japanese art with the possibility of taking classes for tourists (Waso, Shodo, Sado, Batto)",https://goo.gl/maps/4e7tBZsR2cheV1eU8,
Jo Gai Market,Tokyo,Ginza,Store,Market with artisans and food (including Sashimi),https://goo.gl/maps/yKutDTNwbZ8B2yJ88,
Boat Bus,Tokyo,Ginza,Other,Travels along the Sumida River to Asakusa,,
Small restaurant near the train station,Tokyo,Ueno,Restaurant,"Restaurant where the black market took place in the 1950s (Ramen, Gyoza, Yakitori)",,
Izuei Umegawa-Tei,Tokyo,Ueno,Restaurant,"Restaurant specializing in eel, terrace with a stream.",https://goo.gl/maps/ri3gZ7W2qVj6gZNH6,
Echikatsu,Tokyo,Ueno,Restaurant,"Traditional restaurant, divided into 17 small rooms where you eat on cushions and low tables with a small Japanese garden.",,
Honkan,Tokyo,Ueno,Museum,"Museum dedicated to Japanese culture, major works of art, kimono, sculpture, armor, pottery, painting",,
Toshogu Shrine,Tokyo,Ueno,Temple,"Classified as a national treasure, built by the 1st Shogun in 1627",,
Shitamachi Museum,Tokyo,Ueno,Museum,"Museum recreating life during the Edo period, Reconstruction of street and house interiors.",,
Ameya Yokocho Market,Tokyo,Yanaka,Store,"One of Tokyo's largest markets, with many rare spices, dried food, and seaweed for sale",,
Hantei,Tokyo,Yanaka,Restaurant,Two-story wooden house specializing in: Kushiage and Tempura,https://g.page/hantei?share,
Free guided tours,Tokyo,Yanaka,Other,Volunteers and local residents organize free guided tours of the neighborhood (including several temples).,,
Yanaka Reien Cemetery,Tokyo,Yanaka,Park,cemetery where the tomb of the last Shogun is located,https://goo.gl/maps/YW52yXu5qsk8s6Ag7,
Magurobito,Tokyo,Asakusa,Restaurant,"Sushi on a conveyor belt, but a bit more upscale than average.",https://goo.gl/maps/btJPM8JkWwVpePtk8,
Tsurujirou,Tokyo,Asakusa,Restaurant,"Specializing in Okonomiyaki, you can make them yourself or with the help of a chef.",https://goo.gl/maps/ZLvVjMQ8VGSuJnT78,
Nibiki,Tokyo,Asakusa,Restaurant,One of Fugus' most renowned restaurants,,
Tokyo Sktree Tower,Tokyo,Asakusa,Other,634m television tower with viewpoint and restaurant at the top and glass floor.,https://g.page/TOKYOSKYTREE-official?share,Expensive and not great
Chanko Edosawa,Tokyo,Ryogoku,Restaurant,"Traditional setting (tatami mats, low table, traditional music), specialty: tempura and soba",https://goo.gl/maps/xVdu5ViJyaMKC96H9,
Sumida Hokusai Museum,Tokyo,Ryogoku,Museum,Museum dedicated to the works of Hokusai,https://goo.gl/maps/Y3bpBK6N84pD1WiJ7,
Edo-Tokyo Museum,Tokyo,Ryogoku,Museum,Largest Ethnographic and Historical Museum of Life During the Edo Period (temporarily closed),https://goo.gl/maps/49UiWRHj9Shz5o9k9,Under construction in 2023
Sword Museum,Tokyo,Ryogoku,Museum,Museum on the evolution of the saber from the 9th century to the present day.,https://goo.gl/maps/2bNLV52NpmP6yMQq9,
Kokugikan Sumo Stadium,Tokyo,Ryogoku,Other,"Sumo competition hall, but it's also possible to watch training sessions outside of competition periods.",https://goo.gl/maps/L4iZGonM4sff7iWz7,Free sumo museum inside
Mimasuya,Tokyo,Akihabara,Restaurant,"Tavern offering cherry blossoms and eels, with a wide selection of sake.",,
Shangs cafe,Tokyo,Akihabara,Store,Tea room offering coffees roasted using traditional Japanese methods,https://goo.gl/maps/nsZJ3Zv9Evpj5XMx7,Great for coffee lovers
Animate,Tokyo,Akihabara,Store,Manga temple and figurines of all kinds...,https://goo.gl/maps/21pTgUnU4o5RWny88,
Kanda Myojin,Tokyo,Akihabara,Temple,"300 meters from the center of Akihabara, in the quiet of the city, Tokyo's oldest temple (730)",https://goo.gl/maps/VqfqNG8TtvoCMtFRA,
Akihabara,Tokyo,Akihabara,Other,"Arcade, manga shop, etc...",https://goo.gl/maps/b5Hr3YVPcJjGsKaVA,Perfect for geeks
Chanko Kuroshio,Tokyo,Kagurazaka,Restaurant,Specializing in sumo cuisine and run by a former sumo wrestler,https://g.page/chanko-kuroshio?share,
Tenko,Tokyo,Kagurazaka,Restaurant,"One of the best tempura restaurants in the city, formerly a Geisha residence",https://goo.gl/maps/fvBLMGSuhuzgJGhu5,
Aoyama Cemetery,Tokyo,Roppongi,Park,"100,000 graves, including that of the dog Hachiko",https://goo.gl/maps/vNDET2ptu1JqRyMx8,
Yamada Chikara,Tokyo,Roppongi,Restaurant,"Molecular cuisine that reinterprets traditional Japanese cuisine, apprentice at the restaurant voted best restaurant in the world (El Bulli)",,
Museum of Parasites,Tokyo,Ebisu,Museum,"Museum containing nearly 45,000 parasites; hypochondriacs beware.",,
Uogashi,Tokyo,Shibuya,Restaurant,Very good sushi,https://goo.gl/maps/mcedx4hQ5bNp3QKD9,
Shirubee,Tokyo,Shibuya,Restaurant,A renowned tavern offering a peaceful respite from the hustle and bustle of the neighborhood. Specialty: Nikujaga / Japanese wine,https://goo.gl/maps/ECKbrHUA6TtHgkkU8,
Morimoto,Tokyo,Shibuya,Restaurant,"Based on locally sourced products, with a great reputation for eel and Yakitori.",https://goo.gl/maps/EPhr2ekejk4oczMT9,
Sound Museum Vision,Tokyo,Shibuya,Club,One of the biggest nightclubs in Tokyo (permanently closed),https://goo.gl/maps/TeuCWCg3VccfJyke8,
La Pasela,Tokyo,Shibuya,Club,Karaoke,https://goo.gl/maps/3ZmZEPCu2E3pQKjn9,
Benitsuru,Tokyo,Taitou,Restaurant,Restaurant de fluffy pancakes,https://goo.gl/maps/kbUihwZx1yzKY4aU6,
Izakaya Masaka,Tokyo,Shibuya,Restaurant,one of the best vegan restaurants,https://goo.gl/maps/xpo4sbrQfr4c7KmZ6,
The church,Tokyo,Shibuya,Bar,Catholic Church themed bar,https://goo.gl/maps/3AMXLL97gfCwrNDj6,You need to come dressed appropriately
Kappabashi-dori,Tokyo,Taitou,Store,Restaurant supplier store,https://goo.gl/maps/SdsWuLGYpvabBDWf8,
Gyukatsu Ichi Ni San,Tokyo,Chiyoda,Restaurant,Famous for its gyokatsu (beef tonkatsu),https://g.page/gyukatsu123?share,
Tenmaya,Tokyo,Kitazawa,Restaurant,Known for its kibble (vegetarian option available),https://goo.gl/maps/3vBqYH5NfbsXpYij6,
YUKARI-nishiazabu-,Tokyo,Minato-city,Restaurant,Restaurant to sample lots of sake (temporarily closed),https://goo.gl/maps/JTKex6k4SAT4Rfp79,
JANAI COFFEE,Tokyo,Shibuya,Bar,speakeasy bar (use the website to enter the bar area),https://g.page/janaicoffee?share,
"Horumon nabe, Morioka goro",Tokyo,Shinjuku,Restaurant,Speakeasy izakaya (use the storage door),https://goo.gl/maps/BUARieiT3Jecx7Ka7,
No Room For Squares,Tokyo,Kitazawa,Bar,Speakeasy jazz bar (use the Coke fridge),https://g.page/no-room-for-squares?share,
MOSS,Tokyo,Taishido,Restaurant,Speakeasy Izakaya style South American (but known for wagyu) (use the vending machine),https://goo.gl/maps/jLShLnCk1gaqULH56,
igu&peace,Tokyo,Dogenzaka,Bar,Chic-vintage speakeasy bar (solve the escape room),https://g.page/igu-peace-shibuya?share,
Akashiya,Nara,Minamishincho,Store,Largest Japanese brush manufacturer (possibility of participating in the final stages),https://goo.gl/maps/oGCmmjNfaTPDP3HHA,
Kappou Yoshiba,Tokyo,Sumida,Restaurant,Restaurant in a former sumo stable run by a former wrestler (the dohyo is preserved),https://goo.gl/maps/GPEoJKrSnsTgNTATA,
Tōdai-ji,Nara,Zoshicho,Temple,An 8th-century temple that houses the largest bronze Buddha in Japan,https://goo.gl/maps/BzvD4rrTFisAspbN8,
Nara Park,Nara,Zoshicho,Park,Nara Park with deer roaming freely and multiple temples,https://goo.gl/maps/TGDcQnrvGZz7KB9P6,cool place 
Heijō Palace,Nara,Nijoojiminami,Other,8th Century Imperial Palace,https://goo.gl/maps/3MAXqQ9sYg3utt6f7,
Tōshōdai-ji,Nara,Gojocho,Temple,Temple classified as a national treasure,https://goo.gl/maps/oQFvKWfn3Gk7gaXD9,
Gango-ji,Nara,Chuincho,Temple,"One of the oldest temples in Japan, a UNESCO World Heritage Site (near Nara Park) (entrance fee required)",https://goo.gl/maps/SJJUrkSuRfjsNciY6,
Tabi-ji,Nara,Taruicho,Store,Tabi shop (modernized traditional shoes),https://goo.gl/maps/XVHEqi7c4s3gTjb56,Very comfortable shoe to wear
Nakatanidou,Nara,Taruicho,Store,"Handmade mochi shop (the best I've ever eaten in my life, I'd live for these mochi)",https://goo.gl/maps/cqFi4ynxbDP7NLoV6,
Nara Izumi Yūsai,Nara,Nishiterabayashicho,Bar,Sake tasting bar,https://goo.gl/maps/ERgbK5kDMF1zRngZ6,
Uguisuno-taki falls,Nara,Nara parc,Other,Waterfall at the bottom of Nara Park (short hike),https://goo.gl/maps/nRuhDhvBdpnrZmZP6,
Pop Life Department M's,Tokyo,Chiyoda,Store,Sex shop on 7 floors,https://goo.gl/maps/m1xYmGEAaVoByhqT9,
Osaka Takoyaki Museum,Osaka,Konohana,Restaurant,Concentration of multiple takoyaki shops,https://goo.gl/maps/PrYfDhtsRMAipzgNA,
Dotombori Kukuru,Osaka,Chuo-city,Restaurant,A legendary restaurant in the takoyaki fan community (ask for the secret Kuro-tako),https://goo.gl/maps/NRm1NPJFiRsTXA597,
Kogaryu Takoyaki,Osaka,Chuo-citu,Restaurant,"A legendary restaurant in the takoyaki fan community, known for its takosen.",https://goo.gl/maps/W8gw83AErR4fwVQTA,
Hana no Mai Hatago Chaya Ikedaya | Seafood pub,Kyoto,Nakagyo-Ku,Restaurant,"Site of a legendary Shinsengumi battle, now converted into a fish restaurant (vegetarian option available)",https://g.page/hananomai-ikedaya?share,
Asakusa Kagetsudō,Tokyo,Asakusa,Restaurant,Best melon pan restaurant in Asakusa,https://goo.gl/maps/cFPGHrKg61b7XpMV8,
Takahashi,Tokyo,Sumida,Store,Sumo merch store,https://goo.gl/maps/7e35gAAfYzuoCSEM8,
Nishiki Market,Kyoto,Nakagyo,Other,Street food market,https://goo.gl/maps/WAHE7Q5jjaEhZBJWA,
