Name,City,Neighborhood,Type of activity,Description,Maps/web site,Commentary
Old kimono shop,Nara,Taruicho,Store,Kimono/Yukata Fripperie,https://maps.app.goo.gl/qRapnujV4d7UeaXL6,"Amazing value for money, helpful saleswoman"
Harajuku Chicago Kyoto Store,Kyoto,Nakagyo,Store,Second-hand chain of kimono/yukata and other clothing,https://maps.app.goo.gl/AQMcW8qCLoGnvZHP6,"Thrift store chain with locations in Tokyo and Kyoto, duty-free available"
Harajuku Chicago Shimokitazawa,Tokyo,Harajuku,Store,Second-hand chain of kimono/yukata and other clothing,https://maps.app.goo.gl/E2ftDimeFQ5nRUH36,"Thrift store chain with locations in Tokyo and Kyoto, duty-free available"
Yamadaruma,Kyoto,Shimogyo,Restaurant,Petit yakiniku,https://maps.app.goo.gl/Yrcu5o1ErwpYNqKy7,One of the best yakiniku in Kyoto
MINT IKEBUKURO,Tokyo,Ikebukuro,Store,TCG sport,https://maps.app.goo.gl/vGvGtU83mn4HgAu49,
やゝ京都 (Yaya kimono),Kyoto,Higashiyama,Store,Reputable kimono shop,https://maps.app.goo.gl/4nAChiUBcKQHNLNo8,"Large collection of antique kimonos (Showa era, approximately 100 years old) and modern kimonos. Less extensive for men. Approximately €240 for a men's kimono."
Modoribashi Shashinkan,Kyoto,Kamigyo,Store,Kimono and antique shop,https://maps.app.goo.gl/29MjhnoZniavBfy66,
Gora Kansuiro,Hakone,Hakone,Hotel,Ryokan near Hakone Station,https://maps.app.goo.gl/T1CYLDZAUV7WKmAr9,"Large, peaceful ryokan. Two onsen, one indoors and the other in the large private park. Very spacious room with impeccable service. Excellent and varied meals (dinner and breakfast included)."
Hakone Ropeway Owakudani Station,Hakone,Ashigarashimo,Other,Visit to the fumaroles of the Hakon volcano,https://maps.app.goo.gl/1j3N6tF7LwQhLLGp8,A bit crowded during the day. Hakone's main attraction. Beautiful views of the countryside and Mount Fuji on a clear day.
Gokayama,Nanto,Nanto,Other,Traditional village listed as a UNESCO World Heritage Site,https://maps.app.goo.gl/viYsUjAmvoJcTosd6,A village lost in the middle of Japan. Its architecture has inspired several Ghibli films.
Enoshima Island,Fujisawa,Kanagawa,Other,"sacred Shinto island, numerous temples and caves to visit, as well as beaches",https://maps.app.goo.gl/7eg3cVhLpg1yXK8a9,
Shiogama Bay,Shinogama,-,Other,"A bay near Sendai, renowned for its tuna. The scenery is similar to Ha Long Bay (but not as good).",https://maps.app.goo.gl/iuY36kAvFaboGqKo7,
Koshoji inari,Kyoto,Uji,Temple,A very old temple near a viewpoint overlooking Uji and Kyoto,https://maps.app.goo.gl/aknJVDs4uC2k21wx8,
Aji-Tasuke Branch,Sendai,Aoba,Restaurant,locals' recommendation for eating beef tongue,https://maps.app.goo.gl/qgU2bGhFDJdGqQnQ6,
Karakimokkou,Saitama,Kawagoe,Store,Baguette shop where you can make your own baguettes,https://maps.app.goo.gl/4kAJrckwug1hYCSP8,
Sakimoto bakery,Osaka,Naniwa,Store,Bakery that offers pistachio bread (also in Tokyo),https://maps.app.goo.gl/amPZJ8hLJJSpgmQm7,
Sunshine city,Tokyo,Ikebukuro,Store,Web-oriented mall,https://maps.app.goo.gl/8qRXJ7RpyNbsjy6F6,
Iroha buffet,Tokyo,Koto,Restaurant,Very good fish and seafood restaurant (expensive),https://maps.app.goo.gl/SyBt3qJDgUhuLpHm6,
Kama-daru Falls (7),Kawazu,Kamo,Other,"Natural onsen with a waterfall. Mixed-gender, swimsuits and tattoos allowed.",https://maps.app.goo.gl/kQkPnebCirBweXQs9,
Minoringo,Tokyo,Shibuya,Restaurant,Good curry restaurant in Harajuku,https://maps.app.goo.gl/ukZK6MLL4iSfDcNc8,
Ponshukan,Yuzawa,Minamiuonuma,Bar,"Located in Echigo-Yuzawa Station, over a hundred sakes to taste",https://maps.app.goo.gl/ExD2JXbGmmDFJPUo8,
Shabu-Shabu Lettuce Shibuya Center Gai Store,Tokyo,Shibuya,Restaurant,All-you-can-eat shabu shabu (2 hours ¥3600 - ¥9900),https://maps.app.goo.gl/MgFf2PZU5xexwwoq6,
Kusatsu Onsen,Kusatsu,Agatsuma,Other,Highly renowned spa resort,https://maps.app.goo.gl/9CXKj4hL4cjC8EMZ8,
Mochizen,Nara,Minamimachi,Restaurant,Restaurant serving classic and modern mochi. Option to book a mochi-making activity using traditional methods.,https://maps.app.goo.gl/kFGHX8ckyXXgoiNU7,
Todoroki Ravine Park,Tokyo,Setagaya,Other,1km of ravine in a magnificent park,https://maps.app.goo.gl/L7To26TKNKAzgyzY6,
Kifune-jinja,Kyoto,Sakyo,Temple,"Temple on the side of Mount Kurama, quite far from Kyoto",https://maps.app.goo.gl/RNRU1tcdTkN3J5rg8,
Yasuke Tsurube Sushi Restaurant,Nara,Yoshino,Restaurant,Nara's oldest sushi restaurant (5k lunch and 7k dinner),https://maps.app.goo.gl/NkZSJBtXKusqVKAs7,
Tototo,Tokyo,Nakano,Restaurant,Pizza style tokyo,https://maps.app.goo.gl/qVGtB6E5G2c1BL6R8,
Kurama-dera,Kyoto,Sakyo,Temple,Temple accessible by cable car,https://maps.app.goo.gl/T1yPmHjJD8xbdvVU9,
Daimonjiyama,Kyoto,Sakyo,Other,"Viewpoint overlooking all of Kyoto, not too crowded",https://maps.app.goo.gl/QQ6uUaDVYN8Riypy9,
Enryaku-ji,Otsu,Shiga,Temple,Temple located between Otsu and Kyoto with a peaceful hiking trail,https://maps.app.goo.gl/S7JkRFvtr5Z3tiuN8,
Yugeta Soy Sauce,Saitama,Sakano,Store,Yugeta's main soy sauce store. You can also try soy sauce ice cream.,https://maps.app.goo.gl/KzUcvKeXqo7iLURS8,
Sanjusangendomawari,Kyoto,Higashiyama,Temple,Temple with about a hundred Buddha statues with different faces,https://maps.app.goo.gl/8w81MCmHaTgh4saGA,
TACOS 3HERMANOS HARAJUKU,Tokyo,Shibuya,Restaurant,Mexican taco restaurant in Harajuku,https://maps.app.goo.gl/fzfpb5o9pD9ic6pHA,
Sushi Atsuya,Osaka,Abeno,Restaurant,Sushi restaurant that uses naturally less sweet rice (reservations required ~11k),https://maps.app.goo.gl/tW3fnthNyUrcDMy28,
大徳壽TOKYO 六本木けやき坂,Tokyo,Roppongi,Restaurant,Yakiniku of luxury,https://maps.app.goo.gl/4GdmodKqetv4MSNa9,
Meguro Gajōen,Tokyo,Meguro,Hotel,A museum hotel that offers magnificent exhibitions periodically at affordable prices(?),https://maps.app.goo.gl/JTFtdfDz8iWpnMr48,
Sushi Shiina,Tokyo,Chiyoda,Restaurant,Quite affordable and the chef speaks English,https://maps.app.goo.gl/S6Nm5A1QqykN1zwy8,
Ebimaru ramen,Tokyo,Chiyoda,Restaurant,Hummus ramen (and the most classic kind),https://maps.app.goo.gl/QLJXfdu9cVjTsXoo6,
Madume Ochanomizu,Tokyo,Chiyoda,Restaurant,Izakaya specializing in fish,https://maps.app.goo.gl/53LoRgRCYsVMuRb56,
Washoku Daikoku Kawagoeten,Saitama,Kawagoe,Restaurant,restaurant specializing in sustainably caught eels,https://maps.app.goo.gl/8nQ89YVQMxeVwtog6,
Inamura,Tokyo,Katsushika,Restaurant,Tempura counter,https://maps.app.goo.gl/bM6kYJoeEeLM5JFJ7,
Kanadaya,Tokyo,Ginza,Restaurant,Luxury fruit mochi shop (~1000),https://maps.app.goo.gl/g16cYQTKaChQ7kFh6,
Tsuru Ton Tan Shibuya,Tokyo,Shibuya,Restaurant,High-end udon chain,https://maps.app.goo.gl/yALAgdAX9sP17Ewd8,
Hachinoki Kita-Kamakura Shinkan,Kamakura,Kanagawa,Restaurant,Upscale restaurant serving traditional cuisine,https://maps.app.goo.gl/91N3wt2AJLaDusor6,
Pandora Lounge Cafe,Tokyo,Meguro,Restaurant,Lounge cafe near the Gajoen Hotel Museum,https://maps.app.goo.gl/Y5cegoAd5EPMsuc97,
Yamato tei,Tokyo,Katsushika,Tea room,Matcha House in an old traditional house with a Japanese garden that includes a museum section,https://maps.app.goo.gl/VjDXd8ysEd2c9nAf6,
Yakiniku aging beef,Tokyo,Shinjuku,Restaurant,yakiniku (a bit pricey) of aged wagyu beef,https://maps.app.goo.gl/fSDvnjH9LR4TNfjp9,
Kan ei dō,Tokyo,Meijiro,Confectionery,Traditional confectionery and tea room,https://maps.app.goo.gl/5qRBHn1ZsHoRjwY58,
Hakata Genki Ippai!!,Fukuoka,Hakata,Restaurant,"""Hidden"" ramen (look for the blue seal) in the Michelin guide. Specializing in tonkutsu (creamy pork broth).",https://maps.app.goo.gl/C8iFwvamvtnrRdNCA,
Shirakawa-gō,Shirakawa-gō,Shirakawa-gō,Other,"A village renowned for its tea, with the possibility of harvesting and processing the tea yourself.",https://maps.app.goo.gl/3qWjYWbzBAxAu6RCA,
Edo-Tokyo Open-Air Museum of Architecture,Tokyo,Koganei,Museum,An open-air museum recreating Edo-era Japan,https://maps.app.goo.gl/DpxoE5oBWWEwz98t9,
Panel Cafe Kyoto,Kyoto,Higashiyama,Restaurant,Cafe known for its fluffy pancake with crème brûlée (long wait ~1 hour),https://maps.app.goo.gl/ropWaTcQfSMGyewX7,
Eikan-dō Zenrin-ji,Kyoto,Sakyo,Temple,A little-visited temple with a view of Kyoto and a small lake,https://maps.app.goo.gl/iPvmH9agcuR8M117A,
Shiretoko National Park,Hokkaido,Hokkaido,Park,National park with rare flora and fauna,https://maps.app.goo.gl/RiWmS5yia3k3KKk96,
Kamikōchi,Matsumoto,Matsumoto,Park,Japanese Alps National Park,https://maps.app.goo.gl/RcweU55sDfuz1NVx7,
Kōenji,Tokyo,Suginami,Other,"A popular, retro neighborhood. Known to vintage clothing enthusiasts.",https://maps.app.goo.gl/JKLLQ8KE4aMB7KfWA,
Nikujiru Gyoza Dandadan Higashiueno,Tokyo,Taitou,Restaurant,izakaya specializing in gyoza,https://maps.app.goo.gl/478xGGwCpmXkga4Y7,
Nakagawa River Cruise,Fukuoka,Chuo,Local activity,Cruise on the Nakagawa River (best done at night),https://maps.app.goo.gl/3DZms9Bxm1jTezPTA,
Dazaifu Tenman-gū,Fukuoka,Dazaifu,Temple,Temple dedicated to the god of learning,https://maps.app.goo.gl/PrLxCXc71koUfeen9,
Motonosumi Inari Shrine,Yamaguchi,Yuyatsuo,Temple,Temple by the sea,https://maps.app.goo.gl/LF5f5apbPFtxrcMf9,
Tochoji,Fukuoka,Hakata,Temple,Temple in the middle of Fukuoka with a large wooden Buddha,https://maps.app.goo.gl/z4ZSFsgXcUBV3ZL87,
KENZO cafe,Fukuoka,Hakata,Restaurant,Kitanamichelin 3-star ramen restaurant,https://maps.app.goo.gl/cFnH97V6fuhC8K5w7,
Nakasu Yatai Yokocho,Fukuoka,Hakata,Other,Shopping street specializing in street food stalls,https://maps.app.goo.gl/kRtuQxHqym7eb8T1A,
Fukuoka Castle,Fukuoka,Chuo,Other,Ruined castle with a large garden,https://maps.app.goo.gl/JekZU9V4n1WfQyV88,
Motsunabe Yamanaka Honten,Fukuoka,Minami,Restaurant,Semi-gastronomic restaurant specializing in motsu nabe,https://maps.app.goo.gl/1F4JAtErLhCuo6B4A,
Koishikawa Koraku-en,Tokyo,Bunkyo,Other,Garden dating from the 17th century,https://maps.app.goo.gl/77yjS9GbEuChJ1v88,
BOOKOFF SUPER BAZAAR SEIYU Omori Store,Tokyo,Shinagawa,Store,Bookstore (and more) with second-hand items,https://maps.app.goo.gl/TZcNrMNQJa9RM4kH6,
いづ美,Tokyo,Nakagawa,Restaurant,Small neighborhood restaurant with a regularly changing menu,https://maps.app.goo.gl/QTt6SYS9cGoXjLbx5,
Atsuta-jingū,Nagoya,Atsuta,Temple,Temple housing a sacred sword,https://maps.app.goo.gl/qepc85pGNRe9GhuZ7,
Terraced Rice Fields of Hamanoura,Genkai,Higashimatsuura,Other,Rice fields in the earth,https://maps.app.goo.gl/CJ4suK4UkJx6GRoF9,
Inabeshi Agriculture Park,Inabe,Mie,Other,Large botanical garden in the countryside,https://maps.app.goo.gl/KDpYu2FeiypysL41A,
Mount Tanzawa,Kurokura,Ashigarakami,Other,"A mountain with hiking trails and mountain huts, this imposing peak offers panoramic views of the countryside.",https://maps.app.goo.gl/R6Nmo1bbs41yqK3UA,
Otagi Nenbutsuji Buddhist Temple,Kyoto,Ukyo,Temple,"Buddhist temple founded in the 8th century including more than 1,200 stone heads in its gardens.",https://maps.app.goo.gl/d98H28vJ68xu51B58,
TCG / BOARD GAME Cafe & Bar FUN 八重垣ビル地下1階店,Tokyo,Taitou,Other,Board game and card bar that makes custom cocktails based on the cards shown,https://maps.app.goo.gl/yQoNWQaQn7nSWbvp8,
Mount Tenpō,Osaka,Minato-city,Other,"Smallest mountain in Japan. Ask for the certificate after ""climbing"" the mountain at nearby shops.",https://maps.app.goo.gl/wSzFXD5XKu5a6kKE6,
鰻の成瀬 嵐山店,Tokyo,Ukyo,Restaurant,Restaurant specializing in eel,https://maps.app.goo.gl/Ny29pJqP5rYmR2ES6,
Nishijin Textile Center,Kyoto,Kamigyo,Store,Quality textile shop with the option to book fabric/scarf making activities,https://maps.app.goo.gl/Zd5Cf6DTvaWWtgW47,
Bunbuku,Kobe,Chuo,Restaurant,Restaurant specializing in Chazuke,https://maps.app.goo.gl/34MLBQYtR4fPxSb79,
MIRAI SAKE / KUBOTA SAKE BAR,Tokyo,Shibuya,Bar,Sake bar with tasting of several types of sake and AI profiling,https://maps.app.goo.gl/wQcFejQGczh5rdfs5,
Akiba Fandom,Tokyo,Akihabara,Store,Anime and VTuber merchandise shop (no judgment),https://maps.app.goo.gl/7vLnyvmLyyv5qxNy9,
Udon Shin,Tokyo,Shibuya,Restaurant,Very good udon restaurant,https://maps.app.goo.gl/MBEVYnFG3vkrm5EH7,
Via Meidaimae,Tokyo,Setagaya,Other,A little Easter egg for the weebs,https://maps.app.goo.gl/Y8n4hVEwdx4hYU5f6,
Onigiri Gorichan,Osaka,Kita,Restaurant,XXL onigiri restaurant (konbini reference),https://maps.app.goo.gl/MPWy1kt7F6SVxwY58,
Sankei-en,Yokohama,Naka-ku,Building,"Historic buildings from all over the country line this traditional Japanese garden, which was opened to the public in 1906.",https://maps.app.goo.gl/5vbrdfCLKjfizbaN9,
Fukujuen Uji (Uji Tea Factory),Kyoto,Uji,Local activity,"A tea factory where you can eat and drink, as well as book activities such as making matcha, hojicha, etc.",https://maps.app.goo.gl/v3Je6nV1Ae8URs1FA,
Himawari Sushi,Tokyo,Shinjuku,Restaurant,Sushi restaurant with good value for money,https://maps.app.goo.gl/MZ5cFwDPB13KQPBm6,
Unnamed Ramen Restaurant,Kyoto,Nakagyo,Restaurant,Unnamed ramen restaurant (no sign). Known for its beef ramen.,https://maps.app.goo.gl/CVrJKfR3Uo5nSCNt7,
Amabikisan Rakuhōji (Amabiki Kannon),Sakuragawa,Ibaraki,Temple,Temple of ducks (full of ducks) and peacocks,https://maps.app.goo.gl/3CuSNuRANHQTt7ku7,for connoisseurs
Tokaikan,Ito,Higashimatsubaracho,Building,Former ryokan retreat in museum,https://maps.app.goo.gl/rpv7EHFuKibq8uSf8,
watashino,Tokyo,Taitou,Local activity,Workshop for making Tosa washi paper,https://maps.app.goo.gl/gVfFvuXyZbqunxKy9,
Karamenya masumoto 元祖辛麺屋桝元下北沢店,Tokyo,Kitazawa,Restaurant,Known for its spicy ramen,https://maps.app.goo.gl/PtP4wsNTQdqkeFNY9,
Orinami Asakusa,Tokyo,Asakusa,Local activity,"Visit to an Omamori factory + making demonstration (3,300 yen)",https://maps.app.goo.gl/BJnwUeHpWAwByCWS9,See the Instagram account @orinami_asakusa
Shinsaibashi PARCO,Osaka,Chuo,Store,"geek/weeb-oriented shopping center (Pokécenter, Lego, Capcom, Ghibli, ...)",https://maps.app.goo.gl/BRhzRUkB9CnLQucf8,
Akihabara Gachapon Hall,Tokyo,Akihabara,Store,Shop specializing in gachapons,https://maps.app.goo.gl/pm54S8v3Whj7QMJu8,
Mister Donut,Tokyo,Akihabara,Restaurant,Donut restaurant chain,https://maps.app.goo.gl/7tJhMYDGkJeBiYvB8,to make the pilgrimage to the Pont de Ring (recently closed)
Moyan Curry Ribingu,Tokyo,Shinjuku,Restaurant,Curry buffet that has a Yu-Gi-Oh card with its name on it,https://maps.app.goo.gl/drTVddmUWkcvHS1TA,
Brisk Stand Asakusa,Tokyo,Taitou,Restaurant,One of the best burgers in Japan (source: tkt) (also in Kobe) burger cut in half and grilled again for more texture,https://maps.app.goo.gl/8UwgvMeoxiduFjeJ8,
Kome Dorobou,Osaka,Naniwa,Restaurant,Osaka chicken nanba (fried chicken with tartar sauce),https://maps.app.goo.gl/YSMgiPpsnpeBikTe6,
Menchirashi,Tokyo,Shibuya,Restaurant,Tokyo udon carbonara,https://maps.app.goo.gl/V5Z3p81LKiq3xiJ26,
Tonkatsu Marushichi | Monzen-nakacho,Tokyo,Koto,Restaurant,Specializing in thick tonkatsu (breaded pork),https://maps.app.goo.gl/Auh2Uu5Az39m1c8B6,
Tatsumi Shindo,Tokyo,Koto,Other,Small street like Goldenkai (full of small restaurants and bars),https://maps.app.goo.gl/bg4aB2MqXCdE6DnX8,
Age 3,Tokyo,Chuo,Restaurant,Specializing in dessert sandwiches,https://maps.app.goo.gl/gtUAh4of8g8B7ykt8,
Tsuzuki,Nagoya,Nakamura,Tea room,Café with a floral ambiance and coffees from around the world,https://maps.app.goo.gl/3dHHJhgMhXkTtkJj9,
Engaku-ji,Kamakura,-,Temple,Buddhist complex with a goshuin on wood,https://maps.app.goo.gl/jB8mpS7cByP2MBMK7,
Osaka Prefectural Sayamaike Museum,Osaka,Osakasayama,Museum,"Museum on the history of irrigation architecture in Japan, designed by Tadao Ando, ​​a Pritzker Prize winner in architecture.",https://maps.app.goo.gl/AAwoSQEzEQw68byd8,
Sayama Pond,Osaka,Osakasayama,Park,Oldest water reservoir in Japan (7th century),https://maps.app.goo.gl/HZ1yZur2cKRhwDcx8,
"Susuruka, Susuranka",Nara,Minamijodocho,Restaurant,"Ramen fused with mapotofu (a typical dish from Szechuan, China) with a portion of grilled cheese",https://maps.app.goo.gl/sW77NytRVNaeqbrP7,
Choushiya,Tokyo,Ginza,Restaurant,Specializing in koroke (since 1927) and koroke sandwiches,https://maps.app.goo.gl/JZdE5rDDVbtNojYq5,
ICON,Tokyo,Shibuya,Restaurant,"Burger experimentaux (mac'n cheese, ananas, ...)",https://maps.app.goo.gl/uL1WHEERRdd83tRP6,
Yayoiken,Tokyo,Shinjuku,Restaurant,Japanese fast food chain,https://maps.app.goo.gl/Geb3K8PxqB2dHvZ36,
Tokura,Kyoto,Minami,Restaurant,Super juicy hanbague (also in nakagyo),https://maps.app.goo.gl/sNip3bdKtsmu4wVN6,
Naganoya,Kobe,Chuo,Restaurant,Kobe soba curry,https://maps.app.goo.gl/B8X5ENy5JVRqAcKu7,
Shin Shin,Fukuoka,Chuo,Restaurant,They are very well known for their Hakata-style ramen (several restaurants in Fukuoka),https://maps.app.goo.gl/r4H2hng6S7ij9jiS8,
Katsuō-ji,Osaka,Aomatani,Temple,"Daruma temple, with several collectible stamps to form an image",https://maps.app.goo.gl/1QVHBaUZ2s9cy39w6,
Taikenkobowaraku,Kyoto,Higashiyama,Local activity,"Craft activities include making hairpins, wands, earrings, incense, etc. Finished products are also available for purchase.",https://maps.app.goo.gl/pofvsLRRt5kMJVEr8,
Chikuyotei Ginza,Tokyo,Ginza,Restaurant,Restaurant specializing in eel and sea bream. The staff is unpleasant and racist (especially towards non-Japanese Asians).,https://maps.app.goo.gl/7NCVZ5PQMW4pCkPD6,
Ebisu banh mi bakery,Tokyo,Shibuya,Restaurant,best banh min in Tokyo,https://maps.app.goo.gl/AuUzCPSrus2TTS3L7,
Tsukumo Ramen Ebisu Honten,Tokyo,Shibuya,Restaurant,Known for ramen with a mountain of cheese,https://maps.app.goo.gl/bkd9oiZPBnPyfnmx5,
Mijinco Coffee,Tokyo,Bunkyo,Tea room,Coffee with a better version of fluffy pancakes,https://maps.app.goo.gl/zwksfvbShQd4wPqY9,
Tosakko Ramen,Tokyo,Toshima-city,Restaurant,Specialty Ramen with fat,https://maps.app.goo.gl/fKZpksdt4CexiTWG6,
Menmen,Tokyo,Nerima,Restaurant,Karaage ramen specialty (karaagemen),https://maps.app.goo.gl/LW2BnErw6Lo75zu56,
fullcomp,Tokyo,Akihabara,Store,TCG store chain,https://maps.app.goo.gl/qWjHeRs5MNCHELuL8,
Tonkatsu Daiki,Osaka,Chuo,Restaurant,Thick tonkatsu specialty,https://maps.app.goo.gl/8PddvG6VaMsNfhWL9,
Ippudo,Osaka,Naniwa,Restaurant,A chain of ramen restaurants for introverts (like Ichiran but better and less crowded),https://maps.app.goo.gl/EReiJNNFeNokwmnp9,
Usagi,Tokyo,Shibuya,Restaurant,Known for its tantanmen,https://maps.app.goo.gl/rcY2SShq2nGx999A8,
Kousagi Ramen,Tokyo,Toshima-city,Restaurant,"A subsidiary of Usagi, but less frequented.",https://maps.app.goo.gl/v1sD1AQwVBL6dLxy8,
Marucho,Tokyo,Shinjuku,Restaurant,Soba noodle soup,https://maps.app.goo.gl/qUiN5citiDCENFsMA,
Soupless Tantanmen Piriri Akihabara Store,Tokyo,Akihabara,Restaurant,Mapo tofu tantanmen,https://maps.app.goo.gl/5UyDhDCMZcJC3FAU6,
Akashiyaki Tsukasa,Tokyo,Chuo,Restaurant,"Akashiyaki (a type of takoyaki without sauce, meant to be dipped in dashi)",https://maps.app.goo.gl/m373cnY2S67d3JCx6,
cafe dalcomhada,Tokyo,Shinjuku,Restaurant,Pastries in the shape of animals (including the famous lemon duck cake),https://maps.app.goo.gl/APQQdEqKgb6d3xiNA,
Shiodome,Tokyo,Minato-city,Other,Animals,https://maps.app.goo.gl/prPQskYT5itVxxd39,
PAPABUBBLE パパブブレ,Osaka,Chuo,Store,Fresh handmade candy shop,https://maps.app.goo.gl/gAhSAgegF7LugNkj7,
Tsukemen Gonokami Seisakusho Shinjuku,Tokyo,Shinjuku,Restaurant,Tsukemen with shrimp broth,https://maps.app.goo.gl/RBcG1yU9YzCJgpoc8,best tsukemen of my life
Nashimura coffee,Kobe,Chuo,Tea room,European-style tea room,https://maps.app.goo.gl/nTgZyEBWvVk1GxXs9,Excellent pastries and a calm atmosphere
Kobe beef steak Tramatsu no nikutarashi,Kobe,Chuo,Restaurant,Small restaurant serving certified Kobe beef,https://maps.app.goo.gl/Z776C5wi3MJUEdWK9,Excellent meat and a little cheaper than elsewhere
K-books Namba-ichibankan,Osaka,Naniwa,Store,Manga and weeb merch shop in the heart of Denden,https://maps.app.goo.gl/jfu4SR4FhXYgsC7X6,A great place to find old VTuber merch and second-hand merchandise.
Nipponbashi Denden Town,Osaka,Naniwa,Other,Osaka's electronics and geek district. Equivalent to Tokyo's Akihabara.,https://maps.app.goo.gl/QAvXCs95BCud9coGA,
Osaka Castle,Osaka,Chuo,Museum,"Famous castle dating from 1597, rebuilt since, with gardens and a museum with varied exhibitions.",https://maps.app.goo.gl/g7xAz1jfbtTasSGF7,
Nakanoshima Park,Osaka,Kita,Park,"Osaka's first public park, founded in 1891, includes a library, a rose garden, and a ceramics museum.",https://maps.app.goo.gl/iVVqKtbbgLuZdTNx8,
Minoo Waterfall,Osaka,Minoh,Park,"A 33-meter waterfall surrounded by deciduous trees, with an easy hiking trail and numerous benches.",https://maps.app.goo.gl/U5qXci8BPyjCo3eaA,
Hoshida Park,Osaka,Katano,Park,A 100-hectare park with a 280-meter-long suspension bridge 50 meters high.,https://maps.app.goo.gl/gTxRWDHFFYLhV39dA,
National Museum of Art,Osaka,Kita,Museum,"Underground art museum with souvenir shop, showcasing works by renowned artists on various media.",https://maps.app.goo.gl/R9srG472oj1di2hu8,
Katsura Hanare かつら はなれ,Osaka,Kita,Restaurant,Kaiseki restaurant (traditional dinner),https://maps.app.goo.gl/PgePFLMb143ASEuZA,
Shitennoji,Osaka,Tennoji,Temple,"Restored Buddhist temple built in 593, with a 5-level pagoda, statues and ponds populated with turtles.",https://maps.app.goo.gl/Pcm3nzJ6PGab3kV47,
Parks Garden,Osaka,Ninawa,Park,Architecturally interesting,https://maps.app.goo.gl/KxsY2XX2C2LN5qfT9,
Kaiyukan Aquarium,Osaka,Minato-city,Museum,"One of the world's largest aquariums, home to arctic and tropical aquatic species.",https://maps.app.goo.gl/82HZzKGvDHdRQQwG8,
Sennichimae Doguyasuji Shopping Street for cookware,Osaka,Chuo,Store,"Shopping street dedicated to the sale of household products, kitchen utensils, pottery and tools.",https://maps.app.goo.gl/82QezmvxaeMg1nt38,A very good place to buy kitchen knives
Jungle Fantastic Machinery Museum Mecha Store,Osaka,Ninawa,Store,Store specializing in mecha merchandise,https://maps.app.goo.gl/HW7xxBBAMoB8fbBw6,
Kasuga-taisha,Nara,-,Temple,Temple of a Thousand Lanterns,https://maps.app.goo.gl/UdQff7EyC6uHvGLz7,
Shin Yakushi-ji,Nara,-,Temple,Eighth-century Buddhist temple housing statues of the Twelve Heavenly Generals.,https://maps.app.goo.gl/dnPxgg4MyYAGXJMo7,
Mugen Ramen,Osaka,Naniwa,Restaurant,Generous ramen in meat,https://maps.app.goo.gl/HoNuW19xYBEbvoKi7,
Dontaku Doyama,Osaka,Kita,Restaurant,Okonomiyaki restaurant serving Hiroshima and classic versions,https://maps.app.goo.gl/stDroT3eXTzTK5a59,
Katsudon Yoshibei Sannomiya Honten,Kobe,Chuo,Restaurant,One of Kobe's best Katsudon,https://maps.app.goo.gl/cx9UUyhWfWctxJ1z7,
Uobei Abikoten,Osaka,Sumiyoshi,Restaurant,Conveyor belt sushi restaurant chain with meat sushi options,https://maps.app.goo.gl/dh2bqxErnmF2YpmTA,
,,,,"Restaurant chain founded by a former rikishi, specializing in huge pieces of katsu",,